Rating,Number Of Ratings,Address
4.5/5,1238 ratings,"7211 166th Ave NE, Redmond, WA 98052, USA"
Chicken Tenders,$36.95,Most Popular, 
Brewhouse Up to 30,$299.95,Most Popular,"* 1 Mix and Match Appetizer Platter- Choose 2 Appetizers
* Choose 1-Caesar or House Salad(Upgrade any Caesar or House Salad to any Specialty Salad for $12)
* Choose 4 Half-Pans-Pasta Favorites or (Half Pan) Specialty Entrees (Upgrade Any Half-Pan Specialty Entrée to Baby Back Ribs for $25)
* 36 Garlic Knots
* 30 Chocolate Chunk Cookies"
Kale and Roasted Brussels Sprouts,$41.50,Most Popular,"Baby kale, herb-roasted brussels sprouts, romaine, blueberries, red grapes, dried cranberries, goat cheese, cucumber, candied pecans, toasted pepitas and red onions tossed in strawberry vinaigrette. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Chocolate Chunk Cookies,$12.00,Most Popular, 
Grilled Chicken Alfredo,$61.50,Most Popular,"Rotelle noodles with our rich creamy alfredo sauce, steamed broccoli and grilled chicken breast. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Sliders,$36.95,Most Popular, 
Spinach and Artichoke Dip,$36.95,Most Popular, 
Mozzarella Sticks,$36.95,Most Popular, 
Fresh Mozzarella and Tomato,$28.50,Most Popular,"Our new light and fresh caprese-style salad! Fresh mozzarella and tomato wedges with basil, red onion, and parmesan cheese drizzled with balsamic glaze. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Avocado Egg Rolls,$36.95,Most Popular, 
Mozzarella Sticks,$36.95,Mix and Match Appetizer Platter, 
Bone-in Wings,$36.95,Mix and Match Appetizer Platter, 
Boneless Wings,$36.95,Mix and Match Appetizer Platter, 
Chicken Tenders,$36.95,Mix and Match Appetizer Platter, 
Spinach and Artichoke Dip,$36.95,Mix and Match Appetizer Platter, 
Avocado Egg Rolls,$36.95,Mix and Match Appetizer Platter, 
Crisp Potato Skins,$36.95,Mix and Match Appetizer Platter, 
Sliders,$36.95,Mix and Match Appetizer Platter, 
