Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Ancho Citrus Shrimp Burrito,$8.99,Most Loved,"Sustainable pan-seared shrimp with guacamole, citrus rice, black beans, lettuce, roasted chipotle salsa, salsa fresca and creamy chipotle sauce."
Chipotle Orange Salad,$7.99,Most Loved,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with mandarin oranges, fire-roasted corn red chiles, avocado slices and black beans on fresh mixed greens, topped with tortilla strips, white sauce and chipotle orange vinaigrette."
The Original Fish Taco Two Taco Plate,$7.79,Most Loved,"Sustainable Wild Alaska Pollock, hand-dipped in beer batter, topped with cabbage, white sauce and mild salsa on two stone-ground corn tortillas."
Wild Pacific Mahi Mahi Burrito,$8.99,Most Loved,"Wild Pacific Mahi Mahi, grilled or house blackened, with fire-roasted corn, guacamole, Mexican rice, cabbage, cilantro/onion and creamy chipotle sauce."
California Bowl,$7.99,Most Loved,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with citrus rice, black beans, guacamole, salsa fresca, chipotle sauce, romaine lettuce and your choice of roasted chipotle salsa or salsa verde."
Grilled Gourmet with Shrimp Two Taco Plate,$9.49,Most Loved,"Sustainable pan-seared shrimp with toasted cheese, all natural bacon, Hass Avocado slices, roasted chipotle salsa, cilantro/onion and creamy chipotle sauce on two stone-ground corn tortillas."
Burrito Especial with Grilled All Natural Chicken,$7.99,Most Loved,"Grilled all natural chicken with citrus rice, guacamole, black beans, salsa fresca, romaine lettuce, creamy chipotle sauce and roasted chipotle salsa."
Guacamole & Chips,$2.49,Most Popular,"Guacamole made fresh daily with Hass avocados, cilantro, sea salt & lime. Served with tortilla chips prepared fresh daily."
Fountain Drink,$2.49,Most Popular,A selection of Coca-Cola Fountain Drinks and Dr. Pepper.
Loaded Nachos,$7.99,Most Popular,"Tortilla chips loaded with melted cheese, guacamole, salsa fresca, “no-fried” pinto beans™ and sour cream. Also available with all natural chicken and all natural steak."
Cilantro Lime Quinoa Bowl,$8.79,Most Popular,"Served with your choice of grilled all natural chicken or grilled seafood, brown rice & quinoa, romaine lettuce, fire-roasted veggies, sliced avocado, black beans, cilantro lime mojo sauce and toasted almonds."
Cinnamon Churro,$1.99,Most Popular, 
