Rating,Number Of Ratings,Address
4.5/5,2616 ratings,"24032 El Toro Rd, Laguna Hills, CA"
Jumbo Spaghetti with Meatballs,$56.95,Most Loved,"Classic spaghetti with your choice of sauce - classic marinara - basil tomato sauce, slowly simmered with garlic, onions, and herbs. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Avocado Egg Rolls,$35.95,Most Loved, 
Boneless Wings,$35.95,Most Popular, 
Large BJ's Deep Dish Pizza,$15.00,Most Popular, 
Caesar,$26.95,Most Popular,"Romaine lettuce tossed with oven baked croutons, parmesan cheese, and rich Caesar dressing. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Grilled Chicken Alfredo,$59.95,Most Popular,"Rotelle noodles with our rich creamy alfredo sauce, steamed broccoli and grilled chicken breast. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Bone-in Wings,$35.95,Most Popular, 
Santa Fe,$51.95,Most Popular,"Romaine, blackened chicken breast, red onions, fire-roasted red bell peppers, jack and cheddar cheese, avocado, corn, diced tomatoes and crisp corn tortilla strips tossed with santa fe dressing. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
House,$26.95,Most Popular,"Lettuce blend with cucumbers, tomatoes, carrots, shaved parmesan and seasoned croutons. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Deep Dish Ziti,$59.95,Most Popular,"BJ's version of an Italian American classic! Penne layered with housemade meatballs, Italian sausage, pepperoni, marinara and Italian herbs, finished with BJ's signature five cheese blend, parmesan cheese and fresh basil. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Family Feast,$44.95,Most Popular,"* Choose 1 Caesar or House Salad
* Choose 1 Large Deep Dish Pizza
* Choose 1 Jumbo Spaghetti and Meatballs or Grilled Chicken Alfredo Entrée
* 6 Garlic Knots
* Add on an entrée sized Jumbo Spaghetti or Grilled Chicken Alfredo for $10"
Mozzarella Sticks,$35.95,Most Popular, 
Mozzarella Sticks,$35.95,Mix and Match Appetizer Platter, 
Bone-in Wings,$35.95,Mix and Match Appetizer Platter, 
Boneless Wings,$35.95,Mix and Match Appetizer Platter, 
Chicken Tenders,$35.95,Mix and Match Appetizer Platter, 
Spinach and Artichoke Dip,$35.95,Mix and Match Appetizer Platter, 
Avocado Egg Rolls,$35.95,Mix and Match Appetizer Platter, 
Crisp Potato Skins,$35.95,Mix and Match Appetizer Platter, 
Sliders,$35.95,Mix and Match Appetizer Platter, 
Premium Rootbeer Glazed Ribs Platter,$35.95,Mix and Match Appetizer Platter, 
Asian Chopped,$42.95,Salads,"Grilled chicken breast, baby field greens, napa cabbage, romaine, red bell peppers, snow peas, green onions, shredded carrots, sesame seeds, crisp wonton strips, cilantro and mandarin oranges tossed in honey ginger dressing. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
Kale and Roasted Brussels Sprouts,$39.95,Salads,"Baby kale, herb-roasted brussels sprouts, romaine, blueberries, red grapes, dried cranberries, goat cheese, cucumber, candied pecans, toasted pepitas and red onions tossed in strawberry vinaigrette. A half pan serves portions for 8-10 guests and a full pan serves portions for 15-20 guests!"
