Rating,Number Of Ratings,Address
4.5/5,302 ratings,"2715 Fairfield Commons, Beavercreek, OH 45431, USA"
Avocado Egg Rolls,$11.25,Most Loved,Avocado | cream cheese | sun-dried tomatoes | red onions | cilantro | chipotle peppers | sweet tamarind dipping sauce (cal. 1060).
BJ's Brewhouse Burger,$8.50,Most Loved,Lettuce | tomatoes | grilled onions | pickles | parmesan-crusted bun | served with fries (cal. 1000).
Jumbo Spaghetti and Meatballs,$15.50,Most Loved,Housemade meatballs | San Marzano marinara | fresh garlic | red pepper flakes | fresh basil | parmesan cheese (cal. 1460).
Pizookie Trio,$9.95,Most Loved,Your choice† of three mini pizookies. ® each served with a scoop of ice cream (cal. 1740-2160).
"Great White (Mini 6"")",$12.25,Most Loved,4 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (180 calories per slice).
Boneless Wings,$11.25,Most Popular,A full pound (pre-cooked weight) of all-white-meat boneless wings | tossed in your choice of our signature sauces or dry rubs (cal. 870).
Bone-in Chicken Wings,$11.75,Most Popular,"Crispy, bone-in wings | tossed in your choice of our signature sauces or dry rubs (cal. 750)."
Bacon Cheeseburger,$11.75,Most Popular,Applewood smoked bacon | cheddar cheese | tomatoes | lettuce | pickles | mayonnaise | BJ’s signature burger sauce | served with fries (cal. 1380).
Parmesan-Crusted Chicken,$16.25,Most Popular,Chicken breast | lemon chardonnay butter sauce | sun-dried tomatoes | fresh basil | parmesan cheese | white cheddar mashed potatoes | steamed broccoli (cal. 1140).
Soda,$1.95,Most Popular, 
Chocolate Chunk,$6.50,Most Popular,Classic flavors. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1150).
Cookies 'N' Cream,$6.75,Most Popular,Premium flavors. Rich chocolate cookie with the taste of oreo® cookies | rich vanilla bean ice cream | a dollop of mousse (cal. 1230).
BJ's Handcrafted Draft Sodas,$1.95,Most Popular, 
Chicken Tenders,$6.25,Most Popular,Fried chicken tenders | served with ranch.
Grilled Chicken Alfredo,$15.50,Most Popular,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese (cal. 1380)."
