year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,1414.0,31.7,277.0,19.6,31.0,0.55,0.01,0.01,17.0,1.72,158.0,-15.0,142.0,8.42,79.0,100.0,68.35,31.65,11.21,0.01,0.87,19.58,-16.99,2.59,14.15,0.65,0.44,0.29,102.4,51.72,8.73,1.2,-12.37,59.33,31.54,17.87,28.38,61.74,28.57,16.35,0.01,-11.0,-1.23,-0.22,0.01,-39.06,-19.33,-10.01,42.41,80.18,1.09,10.08,4.54,2.65,3.38,0.39,4.45,10.87,24.88,49.89,14.36,100.0,1.02,0.81,0.01,3.08,3.4,8.32,52.8,36.63,97.75,2.25,100.0,1.31,0.72,102.4,59.11,28.73,4.38,15.24,17.87,12.7,83.33,1.77,0.44,19.0573344438016
2010,1317.0,31.4,241.0,18.3,-3.0,-1.74,0.01,0.01,17.0,2.28,179.0,-19.0,161.0,9.32,86.0,100.0,68.62,31.38,12.17,0.01,0.93,18.28,-19.19,-0.92,0.01,-2.25,0.45,-1.01,68.79,-83.49,4.17,0.93,-5.72,40.12,30.81,15.96,-20.79,39.03,27.67,12.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13.58,12.72,1.42,12.19,-57.61,3.58,3.46,0.38,4.87,12.29,21.43,53.68,12.6,100.0,1.15,0.32,0.01,3.44,4.37,9.28,57.11,30.68,97.07,2.93,100.0,1.32,0.76,68.79,48.49,27.85,4.66,13.05,19.46,13.1,78.39,1.93,0.45,38.7423291410014
2011,1055.0,36.8,220.0,20.8,75.0,3.89,0.01,0.01,18.0,4.41,122.0,-26.0,95.0,8.36,19.0,100.0,63.25,36.75,14.76,0.01,1.17,20.82,-10.88,9.95,28.39,6.58,0.39,2.59,23.61,92.93,8.86,1.79,-19.35,-12.66,25.2,12.73,-7.85,-2.15,25.3,10.86,0.01,0.01,11.03,6.44,0.01,0.01,9.87,7.2,-32.13,-40.63,2.49,9.03,1.27,2.32,4.42,0.46,3.39,10.59,18.14,58.14,13.13,100.0,1.11,0.28,0.01,1.32,7.14,9.86,53.99,30.22,94.06,5.94,100.0,1.07,0.68,23.61,13.96,36.4,6.23,16.88,25.75,10.03,58.59,1.98,0.39,33.1169241199204
2012,835.0,45.2,202.0,24.2,128.0,6.63,0.01,0.01,19.0,16.09,53.0,-17.0,36.0,1.9,27.0,100.0,54.82,45.18,19.54,0.01,1.47,24.17,-0.84,23.33,34.5,14.66,0.33,4.87,7.82,58.38,11.11,2.7,-22.3,-16.09,11.51,8.61,-15.68,-14.94,15.86,8.61,69.8,59.59,0.01,12.07,70.44,129.29,0.01,13.19,-56.54,-62.32,2.03,4.3,0.28,2.67,5.32,0.01,4.19,12.19,12.19,62.25,13.37,100.0,1.27,0.31,0.01,1.43,8.07,11.09,49.77,26.36,87.22,12.78,100.0,1.1,0.72,7.82,4.46,53.36,0.01,23.82,0.01,6.84,0.01,2.17,0.33,52.5665462220959
2013,627.0,56.8,201.0,32.0,72.0,3.7,3.0,60.3,19.0,16.28,128.0,-7.0,121.0,4.16,47.0,100.0,43.16,56.84,22.89,0.01,1.96,31.99,-14.36,17.63,34.88,11.29,0.26,2.94,7.63,22.7,7.5,2.1,-24.91,-22.22,-17.22,4.48,-0.61,-8.26,-4.72,5.49,-43.58,0.01,0.01,6.95,-44.19,0.01,0.01,8.09,141.71,236.18,1.12,19.25,1.68,4.41,5.99,0.01,3.39,13.79,11.41,62.03,12.78,100.0,1.67,0.2,0.01,2.3,7.66,11.82,50.05,25.02,86.89,13.11,100.0,1.17,0.88,7.63,4.33,79.34,0.01,47.72,0.01,4.6,0.01,2.21,0.26,68.3199328001513
2014,642.0,56.4,204.0,31.7,36.0,1.9,3.13,75.0,19.0,16.74,119.0,-6.0,113.0,6.29,100.0,100.0,43.63,56.37,22.74,0.01,1.88,31.75,-23.7,8.04,29.35,5.6,0.26,1.48,8.77,12.09,5.52,1.53,2.26,-15.81,-14.62,5.98,1.47,-5.26,-9.1,8.11,-49.4,-21.44,3.02,0.87,-48.65,-21.25,28.14,1.67,-7.27,-6.78,0.93,17.55,3.09,4.25,6.27,0.01,6.35,16.87,9.85,60.45,12.83,100.0,1.71,0.01,0.01,1.4,9.68,12.79,53.1,22.71,88.6,11.4,100.0,1.32,0.82,8.77,5.16,84.67,0.01,53.35,0.01,4.31,0.01,2.49,0.26,87.8769544473223
2015,670.0,57.9,223.0,33.2,105.0,5.52,3.54,116.7,19.0,14.85,136.0,-7.0,129.0,4.26,74.0,100.0,42.09,57.91,23.19,0.01,1.49,33.23,-8.07,25.16,37.79,15.45,0.28,4.33,8.73,37.9,7.95,3.67,4.48,-7.08,-12.85,6.77,9.36,3.32,-3.04,11.26,187.83,-6.33,0.01,9.09,190.53,-5.92,0.01,9.44,14.33,14.46,0.99,19.23,1.23,6.21,5.97,0.01,3.8,15.98,9.42,63.06,11.54,100.0,2.36,0.01,0.01,0.83,9.61,12.8,54.87,20.87,88.54,11.46,100.0,1.25,0.95,8.73,5.26,79.7,0.01,62.62,0.01,4.58,0.01,2.9,0.28,74.5265090532723
2016,625.0,59.3,211.0,33.8,98.0,5.33,3.73,66.8,18.0,14.28,118.0,-6.0,112.0,6.71,80.0,100.0,40.74,59.26,23.84,0.01,1.6,33.82,-9.31,24.51,36.0,15.46,0.27,4.19,9.01,37.16,7.76,3.49,-6.78,-0.14,-10.29,5.98,-5.13,1.73,-2.47,10.54,-6.61,10.8,5.44,8.2,-3.44,12.94,6.5,8.17,-12.84,-12.72,0.9,18.0,1.15,6.17,6.21,0.01,3.7,16.07,9.0,64.11,10.82,100.0,2.22,0.01,0.01,0.87,9.48,12.57,56.29,20.05,88.91,11.09,100.0,1.28,0.98,9.01,5.53,81.96,0.01,75.65,0.01,4.45,0.01,2.94,0.27,70.8507943535192
2017,596.0,55.9,158.0,26.4,-331.0,-18.28,3.88,0.01,18.0,-12.04,66.0,-13.0,52.0,4.24,100.0,100.0,44.12,55.88,27.78,0.01,1.68,26.42,-97.74,-71.32,0.01,-54.32,0.3,-16.09,0.01,-610.93,-19.38,-5.86,-4.53,-2.4,-6.52,2.1,-25.42,-8.19,-4.84,5.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-44.35,-53.44,2.24,8.78,-0.16,6.69,8.58,0.01,7.34,22.6,11.4,52.68,13.31,100.0,3.14,0.74,0.01,1.02,11.99,16.89,72.55,18.93,108.38,-8.38,100.0,1.34,0.9,0.01,0.01,89.21,0.01,73.18,0.01,4.09,0.01,2.95,0.3,50.73
2018,596.0,55.9,158.0,26.4,-331.0,-18.28,3.88,0.01,18.0,-8.18,66.0,-13.0,52.0,0.01,0.01,100.0,44.12,55.88,27.78,0.01,1.68,26.42,-97.74,-71.32,0.01,-54.32,0.3,-16.09,0.01,-610.93,-19.38,-5.86,-3.49,0.01,0.01,0.01,-33.74,0.01,0.01,0.01,0.01,0.01,0.01,0.01,307.63,0.01,0.01,0.01,0.01,0.01,2.24,8.78,-0.16,6.69,8.58,0.01,7.34,22.6,11.4,52.68,13.31,100.0,3.14,0.74,0.01,1.02,11.99,16.89,72.55,18.93,108.38,-8.38,100.0,1.34,0.9,0.01,0.01,89.21,0.01,73.18,0.01,4.09,0.01,2.95,0.3,74.09
