Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Server""",4.0,5.0,4.0,2.0,2.0,3.0," Nov 29, 2017",Current,Server,"Cerritos, CA",Yes,Yes,Neutral,Part-time,More than 5 years,"cash at the end of the day, very flexible with work schedule. they use the hot schedules app which is great fro students who need shifts covered","late hours, they close at 1 am three days out of the week which can be very exhausting and the kitchen can be a little slow sometimes and cause you to lose tip.","very laid back, its like every other job with good managers and bad managers, but at the end of the day they offset each other and its a good workplace"
"""server""",4.0,3.0,4.0,3.0,4.0,3.0," Nov 28, 2017",Past,Server,,Yes,Yes,Yes,,More than a year,"great work environment, the people you work with become like family.","customers can be rude, but remember we are in the business of hospitality.",
"""Waitress""",5.0,5.0,5.0,4.0,3.0,5.0," Nov 15, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,I loved working there it was a easy and pleasant experience,When I was there management was a bit inconsistent,
"""Would not go back, knowing how they treated me""",3.0,4.0,4.0,4.0,3.0,2.0," Dec 1, 2017",Past,Food Runner,"Colorado Springs, CO",Yes,Neutral,Neutral,Full-time,More than a year,-servers often make a lot of tips<br>-you make great friends and repeat customers you love<br>-pick up shifts whenever you need extra cash<br>-you can train in multiple parts of the restaurant and move up from there<br>-free food for takeout/hosts/kitchen staff<br>-50% off food for servers,-management is often in and out<br>-scheduling conflicts<br>-angry customers,"My advice to management, from while I was working there, is to not pick favorite employees but to treat everyone equally. Management behaved like children and often made fun of employees behind their back, causing drama. I would also say not to hire so many servers at once, because there are other parts of the restaurant that need workers. Hiring that many servers causes problems with scheduling, and not enough hours for most unless you're an experienced server who has been there for a long time."
"""Good money, confused company""",3.0,1.0,2.0,3.0,3.0,3.0," Nov 29, 2017",Current,Server,,Yes,Neutral,Neutral,Part-time,,As a server you can make decent money on most nights.,"This company wants to be everything to everyone. The menu is way too big and it causes a lot of problems. It's impossible for them to hire enough kitchen staff who are all capable of becoming experts at their station because they have WAY too many items they have to deal with. That means longer wait times and more mistakes when guests make modifications. Waits and mistakes make people mad which means lower tips. Fewer items would make things run a lot smoother. Not a week goes by where I'm not apologizing for how long it's taking for someone's meal to come out.<br><br>There's a serious identity crises with this company. Are they a family restaurant? A sports bar? A brewery? A higher end fine dining establishment? They want to be all of those things, and you just can't be.","Focusing on secret shoppers is so 10 years ago. You tell us in training to ""read the guest"", so let us! Following a script doesn't make you a good, likeable server and it's not what brings a guest back."
"""Senior Manager""",4.0,4.0,4.0,4.0,3.0,4.0," Nov 10, 2017",Current,Senior Manager,"New York, NY",Yes,Neutral,Yes,Full-time,More than a year,Culture- Taking care of team members and building sales,Cash flow is liquid. Major decisions made by board of directors that are also majority stock holders. It's their money being spent so NRO's are not as frequent as other casual dining comapnies.,good life to work balance
"""Great job/company but at my location the managers have way too much discretion. If they have a bad day, you will too..""",4.0,5.0,2.0,3.0,2.0,2.0," Nov 9, 2017",Current,Server,"Columbia, MD",Yes,Neutral,Neutral,Full-time,Less than a year,High but still affordable and reasonable price per guest. Streamlined use of technology to make jobs easier.,Inconsistencies with rules and policies. Garlic knots are free in some instances but we charge 5$ for an appetizer order of only four pieces..,"Managers have way too much discretion. If they have a bad day, you will too.."
"""good company""",4.0,5.0,5.0,3.0,4.0,4.0," Nov 4, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,good relationship with managers<br>flexible with hours<br>room for growth,very corporate<br>higher up positions above management don't make connection with you,
"""Server""",3.0,3.0,3.0,3.0,3.0,2.0," Nov 14, 2017",Past,ASD Specialist,"Shaker Heights, Cuyahoga, OH",Yes,Neutral,Neutral,Part-time,Less than a year,You make good money in tips,Hard position to work at in general,They love to hire people up.
"""Not a Bad Job At All!""",4.0,3.0,3.0,3.0,4.0,3.0," Oct 27, 2017",Current,Hostess,"Canton, OH",Yes,Neutral,Neutral,Part-time,More than a year,I've worked there for 2 years now and absolutely LOVE the people I work with. Have a great relationship with my management as well. Job is pretty easy for $10 an hour.,Very inconsistent hours &amp; scheduling. Can go from 2 shifts one week to 7 the next. Also there are no end times so you never know how long your shift will be or when you will be done.,Don't play favorites.
"""Great company""",5.0,4.0,5.0,3.0,4.0,4.0," Oct 22, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,Team-oriented with a focus on developing you into a better server,Assigned too many tables sometimes,
"""Working at BJ's Restaurants""",4.0,3.0,4.0,2.0,3.0,3.0," Oct 23, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Great food! Busy, Hardworking Team.",Lots of employees quitting all the time.,
"""Takeout""",3.0,3.0,,,,," Nov 6, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Detailed training. Trainers really get you on your feet for when the restaurant opens. Free meal every shift. Good opportunity for growth.,Corporate and management are not on the same page. Managers can be condescending and/or inapropriate. Refuse to give a consistent schedule.,Get it together. Communicate with each other and your employees.
"""Food runner""",4.0,5.0,4.0,3.0,3.0,4.0," Oct 21, 2017",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Full-time,Less than a year,Good team support. Always helpful.,Can be chaotic when systems break down.,
"""Good experience""",4.0,,,,,," Oct 15, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,Good atmosphere and coworkers,Managment had a hard time keeping fully staffed which created strain on some employees,
"""Great Money for Great Servers""",4.0,,,,,," Oct 16, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Great training for new employees. Great management.,Usually slow kitchen. Most managers crack under pressure.,
"""Depends on location""",3.0,,,,,," Oct 30, 2017",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Full-time,,You get to leave with cash,Locations vary on management and pay. Not good management at former location.,
"""Dishwasher""",2.0,2.0,2.0,3.0,2.0,1.0," Oct 19, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,"Fun, fast paced environment. Super easy job, not much to really do besides end of day clean up.",Managers severely lack any communication skills. Breaks are hardly ever actually given and are never in accordance with state laws.,
"""Average Job""",4.0,3.0,3.0,2.0,2.0,4.0," Oct 5, 2017",Past,Hostess,"Waco, TX",Yes,Yes,Neutral,Part-time,,Free meal after a shift,"Low pay, very corporate environment",
"""Quality is slipping""",3.0,4.0,1.0,2.0,1.0,1.0," Oct 14, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,- Flexible hours<br>-Great balance between work life and personal life,"-Management is awful, they don't do anything but walk around the restaurant<br>-Favoritism<br>-Quality and guest satisfaction are not prioritized",Just because you have a salary does not mean you don't have to work hard
"""Busser/ Host""",4.0,3.0,2.0,3.0,3.0,4.0," Sep 28, 2017",Past,Anonymous Employee,,No,Yes,Neutral,Full-time,,Great learning experience of how restaurant operations works.<br>Great pay and benefits.,Long hours<br>Sometimes not enough staff which causes stress on employees.,My advice would be to do a better job scheduling.
"""Server""",5.0,5.0,5.0,5.0,5.0,3.0," Sep 27, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 3 years,Hours were mostly pick and choose,"Hours, Sometimes you get stuck with a crappy shift",
"""I love working here in Denton""",5.0,3.0,5.0,5.0,5.0,5.0," Sep 26, 2017",Current,Server/Bartender,"Denton, TX",Yes,Yes,Yes,Part-time,,Great management<br>Lots of people<br>Tight group of employees<br>Good tips,Some guests are low tippers,keep doing what youre doing
"""Server's Assistant""",5.0,5.0,5.0,4.0,4.0,5.0," Sep 26, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,,More than a year,"Great work environment, management, and food",Guests can be hard to work with,none
"""Bj's takeout""",4.0,4.0,5.0,4.0,3.0,5.0," Sep 24, 2017",Past,Take Out Specialist,"Laguna Beach, CA",Yes,Yes,Neutral,Full-time,More than 3 years,"Fun restaurant with a good atmosphere, most of the people I worked with were positive and good people, and customers who came in were always very good.","Disorganized at times, training not done correctly.",Make employees take training more seriously.
"""Unfullfilling""",2.0,2.0,3.0,3.0,2.0,2.0," Oct 6, 2017",Past,Corporate Trainer,"Tampa, FL",No,No,Neutral,Full-time,More than 3 years,"Corporate company with a good product, takes care of those they move into key positions",Consistently passed on good talent for advancement. Appreciation for good employees not always up to par.,"Do not overlook talent, saw many dedicated employees leave due to lack of appreciation"
"""Line cook""",3.0,1.0,5.0,5.0,2.0,2.0," Oct 3, 2017",Current,Prep/Line Cook,"Tallahassee, FL",No,Yes,Yes,Part-time,,Great opportunity to move up,Hard to get 40 hours. Way to much work for the pay,Give employees evaluations and pay them accordingly
"""Prep""",3.0,,,,,," Oct 1, 2017",Current,Anonymous Employee,,No,Yes,Neutral,Full-time,,they work around my hours.,"not enough hours, pay and always just me on weekends.",
"""Pizza cook""",3.0,2.0,2.0,2.0,2.0,2.0," Sep 30, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Good food, benefits, customers","Star system, mean managers, some people",
"""Decent temporary position""",3.0,2.0,4.0,4.0,3.0,4.0," Sep 26, 2017",Past,Prep Cook/Dishwasher,,No,Neutral,Neutral,Full-time,Less than a year,You'll get plenty of hours to work.,Understaffed. Not respected. Expected to do the job of 3 people while servers talk and text in the kitchen.,It's not their fault. They couldn't find enough people to apply because they require citizenship.
"""Dishwasher""",3.0,3.0,5.0,3.0,3.0,3.0," Sep 23, 2017",Current,Dishwasher,"Tallahassee, FL",No,Neutral,Neutral,Part-time,More than a year,Keep the business running And keep the costumers happy and smile for them make sure they straight,Greed people keep them happy and make sure ur area clean people enjoyed their self and having a good time,Good
"""Line cook""",1.0,1.0,1.0,1.0,1.0,1.0," Oct 14, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Honestly I cant think of one positive thing to say,"management was unorganized, over worked on part time status, horrible schedule.",
"""Server""",2.0,3.0,1.0,4.0,2.0,1.0," Sep 23, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Simple work, small sections, loose dress code, simple sidework","unprofessional coworkers(food not prepared correctly/food runners don't read tickets and don't run the whole ticket/bussers only halfway buss tables), circular break rotation, hosts lack knowledge (full section or no tables), relatively no training, hands-off management, and general lac of cooperation between employees.","train your people, set boundaries, fire people who drink on the job and show up high for their shift, be more hands on so people don't get lazy with no repercussions"
"""It was a Lose-Lose-Lose Situation""",2.0,,,,,," Sep 22, 2017",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,,The job in and of itself wasn't difficult.,"Never felt respected by management, servers, guests.",
