year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,1602.0,17.2,104.0,6.5,43.0,0.71,0.01,0.01,60.0,8.56,197.0,-37.0,160.0,2.66,-28.0,100.0,82.76,17.24,6.08,0.01,4.69,6.46,-3.26,3.2,16.52,2.67,1.46,3.91,2.03,8.84,9.24,3.19,-0.27,6.79,10.57,16.51,11.25,-2.1,0.28,12.53,-18.09,-19.23,-8.43,7.04,-13.41,-11.38,-3.31,8.81,16.52,89.72,2.32,9.98,3.73,7.04,3.89,2.12,3.4,16.45,75.32,0.41,7.81,100.0,3.24,0.01,1.04,11.31,3.55,19.15,9.55,21.99,50.69,49.31,100.0,0.86,0.57,2.03,0.19,2.72,6.24,9.89,-0.92,134.12,58.49,1.94,1.46,19.8228696061399
2010,1659.0,42.8,128.0,7.7,82.0,1.35,0.01,0.01,60.0,9.92,165.0,-42.0,123.0,2.04,-17.0,100.0,57.24,42.76,6.08,0.01,28.96,7.73,-1.03,6.69,26.44,4.92,1.6,7.88,1.74,14.74,16.95,7.61,3.58,3.16,7.1,14.24,33.02,6.37,0.64,11.2,90.77,3.38,-1.37,9.79,90.14,10.16,4.37,12.21,-16.18,-22.83,2.52,7.44,1.51,7.94,4.6,2.24,3.31,18.09,73.46,0.44,8.01,100.0,3.17,0.01,0.01,16.54,0.01,19.71,0.01,22.69,42.4,57.6,100.0,0.92,0.64,1.74,0.01,3.03,6.08,8.94,0.16,120.53,60.05,2.15,1.6,28.1504947718503
2011,1758.0,42.2,135.0,7.7,96.0,1.64,0.01,0.01,58.0,9.61,196.0,-78.0,118.0,1.91,-47.0,100.0,57.8,42.2,6.05,0.01,28.47,7.68,-0.33,7.35,25.88,5.45,1.71,9.33,1.88,16.87,17.4,27.26,5.92,3.04,5.97,12.54,8.83,17.21,6.32,10.1,17.14,22.33,3.32,9.31,21.48,25.99,9.96,12.03,18.66,-4.0,4.42,6.74,1.24,4.71,4.78,2.76,4.99,17.25,74.18,1.44,7.14,100.0,3.54,0.01,1.52,13.12,3.65,21.83,0.01,25.09,46.92,53.08,100.0,0.79,0.43,1.88,0.01,2.86,6.48,8.69,0.64,127.74,56.37,2.32,1.71,26.9477175979715
2012,1809.0,43.0,148.0,8.2,98.0,1.78,0.24,13.5,55.0,10.8,195.0,-88.0,107.0,1.94,-23.0,100.0,56.96,43.04,6.44,0.01,28.41,8.19,-0.79,7.41,26.54,5.44,1.71,9.31,1.88,17.54,17.54,0.01,2.92,4.13,3.66,10.74,2.14,13.92,5.99,7.75,2.82,31.96,5.88,7.21,8.54,35.85,12.0,10.77,-0.35,-9.48,4.87,5.93,1.09,7.65,5.74,2.64,5.05,21.08,69.99,1.63,7.3,100.0,4.3,0.01,1.26,16.27,1.34,23.17,0.01,23.75,46.92,53.08,100.0,0.91,0.58,1.88,0.01,2.61,10.1,14.73,-2.01,139.74,36.12,2.38,1.71,30.2485919642644
2013,1878.0,43.6,160.0,8.5,114.0,2.1,0.52,26.5,54.0,11.27,205.0,-108.0,97.0,2.38,-38.0,100.0,56.38,43.62,6.8,0.01,28.28,8.54,-0.21,8.33,26.91,6.09,1.69,10.32,1.95,19.77,19.77,0.01,3.81,4.21,3.17,9.27,8.2,6.34,12.22,6.85,16.19,11.86,16.94,7.05,17.98,15.87,20.69,10.89,4.82,-9.68,5.75,5.16,0.85,5.49,6.23,3.16,5.21,20.1,70.76,1.66,7.49,100.0,3.15,0.01,1.22,17.77,1.37,23.51,0.01,25.13,48.64,51.36,100.0,0.85,0.5,1.95,0.01,2.39,11.09,14.21,-0.73,152.43,32.92,2.41,1.69,45.2031328441995
2014,1977.0,42.5,145.0,7.4,101.0,1.96,0.61,27.9,52.0,10.48,240.0,-116.0,124.0,1.66,-83.0,100.0,57.49,42.51,6.75,0.01,28.4,7.36,-0.35,7.01,26.9,5.12,1.72,8.8,2.11,17.86,17.86,0.01,5.26,3.99,4.29,7.39,-9.33,0.07,7.72,3.93,-11.44,1.9,18.78,4.29,-6.67,6.12,22.52,8.84,17.02,27.82,5.86,6.26,1.22,4.93,8.06,2.83,4.53,20.35,70.41,1.77,7.47,100.0,4.87,0.01,1.26,19.76,1.48,27.37,0.01,25.32,52.7,47.3,100.0,0.74,0.47,2.11,0.01,2.33,11.04,14.89,-1.52,156.56,33.07,2.43,1.72,47.7536662549463
2015,2101.0,19.6,171.0,8.2,117.0,2.3,0.73,31.0,51.0,11.81,235.0,-156.0,80.0,2.04,-125.0,100.0,80.43,19.57,7.35,0.01,4.07,8.15,-0.57,7.59,26.88,5.55,1.74,9.67,2.1,20.35,20.35,0.01,6.27,5.11,4.83,5.96,17.76,4.93,5.13,2.86,15.05,5.79,7.36,2.9,17.35,8.92,11.24,7.75,-1.76,-35.6,7.41,3.8,0.68,3.56,8.56,2.76,3.4,18.28,72.34,1.78,7.6,100.0,3.87,0.01,1.19,21.72,1.62,28.4,0.01,23.88,52.28,47.72,100.0,0.64,0.43,2.1,0.01,2.55,10.33,16.13,-3.26,143.24,35.35,2.44,1.74,44.3946346872599
2016,2276.0,19.7,201.0,8.8,139.0,2.83,0.88,31.1,49.0,12.43,303.0,-117.0,185.0,3.48,-155.0,100.0,80.28,19.72,7.01,0.01,3.87,8.84,-0.41,8.43,27.26,6.13,1.8,11.04,2.14,23.41,23.41,0.01,8.34,6.61,5.3,5.64,17.43,7.83,6.74,6.53,19.71,6.85,7.82,5.55,23.04,10.46,11.53,10.74,28.5,132.13,5.16,8.13,1.33,4.16,6.2,2.7,4.05,17.12,70.37,1.78,10.72,100.0,3.21,0.01,1.74,22.57,1.59,29.11,0.01,24.25,53.36,46.64,100.0,0.59,0.36,2.14,0.01,2.39,9.78,12.67,-0.5,152.77,37.33,2.53,1.8,58.6453854259396
2017,2261.0,18.2,163.0,7.2,157.0,3.27,1.06,37.1,48.0,12.74,239.0,-122.0,116.0,2.3,-189.0,100.0,81.83,18.17,6.85,0.01,4.1,7.22,-0.74,6.48,0.01,6.96,1.72,11.99,2.17,25.87,25.45,0.01,-0.67,4.57,4.56,4.11,-18.86,3.92,1.94,3.95,12.83,15.83,9.84,7.84,15.55,18.6,12.93,12.47,-21.06,-37.12,5.42,5.15,0.74,0.45,7.68,3.19,4.33,15.65,70.14,1.81,12.4,100.0,3.82,0.01,1.23,8.38,16.42,29.85,0.75,23.37,53.98,46.02,100.0,0.52,0.27,2.17,0.02,2.87,7.64,9.13,1.38,127.36,47.74,2.45,1.72,48.18
2018,2261.0,18.2,163.0,7.2,157.0,3.27,1.06,32.4,48.0,13.37,239.0,-122.0,116.0,0.01,0.01,100.0,81.83,18.17,6.85,0.01,4.1,7.22,-0.74,6.48,0.01,6.96,1.72,11.99,2.17,25.87,25.45,0.01,-5.19,0.01,0.01,0.01,-28.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82.09,0.01,0.01,0.01,0.01,0.01,5.42,5.15,0.74,0.45,7.68,3.19,4.33,15.65,70.14,1.81,12.4,100.0,3.82,0.01,1.23,8.38,16.42,29.85,0.75,23.37,53.98,46.02,100.0,0.52,0.27,2.17,0.02,2.87,7.64,9.13,1.38,127.36,47.74,2.45,1.72,52.33
