year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,427.0,40.1,20.0,4.6,13.0,0.48,0.01,0.01,27.0,9.45,68.0,-60.0,8.0,0.31,8.0,100.0,59.89,40.11,29.77,0.01,5.73,4.62,-0.26,4.36,29.85,3.06,1.19,3.64,1.51,5.37,5.16,0.01,14.07,21.33,27.02,27.57,80.67,15.01,19.86,37.75,26.48,9.82,15.79,42.02,23.08,5.39,9.86,25.38,16.77,0.01,14.06,1.95,0.64,11.78,3.46,1.05,3.2,19.49,76.59,1.23,2.69,100.0,3.14,0.01,0.01,14.37,0.01,17.51,1.31,14.8,33.62,66.38,100.0,1.11,0.87,1.51,0.02,9.96,5.43,17.61,-2.23,36.66,67.25,1.54,1.19,18.7638454167997
2010,514.0,40.8,31.0,6.1,23.0,0.82,0.01,0.01,28.0,10.53,75.0,-68.0,7.0,0.24,19.0,100.0,59.21,40.79,29.07,0.01,5.62,6.09,-0.1,5.99,24.8,4.51,1.27,5.71,1.49,8.57,8.56,343.22,20.42,17.58,23.59,25.66,53.05,31.01,22.12,39.85,77.65,25.55,22.63,28.12,70.83,23.06,17.9,12.61,9.28,-20.13,13.24,1.29,0.29,12.37,2.33,1.15,3.38,19.23,76.75,1.09,2.93,100.0,4.47,0.01,0.01,10.43,0.01,14.9,0.01,18.18,33.08,66.92,100.0,1.29,0.99,1.49,0.01,8.25,5.37,18.71,-5.09,44.23,67.96,1.65,1.27,35.3055253912488
2011,621.0,20.4,43.0,7.0,32.0,1.08,0.01,0.01,29.0,11.5,89.0,-95.0,-6.0,0.04,13.0,100.0,79.63,20.37,7.89,0.01,5.49,6.99,0.04,7.03,27.68,5.08,1.33,6.77,1.51,10.18,10.16,304.14,20.84,18.4,21.05,25.38,44.01,58.5,27.38,23.75,36.3,45.22,26.24,25.81,31.71,40.43,21.37,13.67,18.68,0.01,15.24,-0.96,-0.19,9.04,2.9,1.19,4.2,17.33,77.79,0.93,3.95,100.0,4.73,0.01,1.68,2.76,5.6,14.77,0.01,19.01,33.79,66.21,100.0,1.17,0.81,1.51,0.01,7.22,5.43,21.36,-8.71,50.52,67.23,1.72,1.33,45.1607793037368
2012,708.0,19.4,41.0,5.8,31.0,1.09,0.01,0.01,29.0,13.27,87.0,-107.0,-20.0,-0.68,0.01,100.0,80.62,19.38,7.7,0.01,5.84,5.85,0.17,6.02,26.37,4.43,1.33,5.88,1.52,8.92,8.87,790.93,14.07,18.4,17.51,25.06,-4.61,28.11,25.3,54.75,-0.51,34.05,21.83,34.13,0.93,31.44,19.89,28.33,-1.74,0.01,15.05,-2.76,-0.62,5.89,3.34,1.07,4.29,14.59,80.71,0.82,3.88,100.0,4.53,0.01,1.99,2.11,5.93,14.55,0.01,19.86,34.41,65.59,100.0,1.0,0.63,1.52,0.01,8.62,3.84,15.8,-3.33,42.33,94.98,1.67,1.33,32.7844139252635
2013,775.0,17.5,28.0,3.6,21.0,0.73,0.01,0.01,29.0,14.03,96.0,-117.0,-22.0,-0.75,-21.0,100.0,82.48,17.52,7.62,0.01,6.32,3.58,-0.35,3.23,15.95,2.71,1.32,3.57,1.52,5.44,5.44,0.01,9.43,14.69,15.69,22.37,-33.03,-2.74,20.53,18.02,-33.07,-3.18,15.32,19.32,-33.03,-3.8,13.36,15.03,9.72,0.01,15.1,-2.78,-1.02,5.07,2.09,1.22,3.22,11.6,84.08,0.76,3.56,100.0,5.15,0.01,1.53,2.09,6.31,15.08,0.01,19.2,34.29,65.71,100.0,0.77,0.47,1.52,0.01,7.46,3.85,16.31,-4.99,48.9,94.76,1.6,1.32,30.9508783136378
2014,846.0,17.9,37.0,4.4,27.0,0.97,0.01,0.01,28.0,13.88,100.0,-88.0,12.0,-0.22,-26.0,100.0,82.05,17.95,6.97,0.01,6.55,4.42,-0.13,4.3,24.57,3.24,1.34,4.36,1.86,7.3,6.33,0.01,9.09,10.84,14.66,20.68,34.79,-4.87,13.67,16.72,30.33,-4.62,16.01,15.9,32.88,-3.52,15.11,12.45,4.71,0.01,10.42,1.41,0.43,4.74,2.9,1.24,3.68,12.57,83.66,0.72,3.05,100.0,5.32,0.01,1.36,2.15,7.71,16.54,8.96,20.61,46.11,53.89,100.0,0.76,0.46,1.86,0.17,5.96,4.06,17.33,-7.3,61.22,89.85,1.6,1.34,50.0335994889812
2015,920.0,19.9,63.0,6.9,45.0,1.73,0.01,0.01,26.0,13.52,127.0,-86.0,41.0,1.57,-24.0,100.0,80.11,19.89,6.57,0.01,6.46,6.86,-0.1,6.75,27.02,4.93,1.38,6.82,2.15,13.63,11.01,0.01,8.75,9.09,12.34,17.83,68.66,15.04,15.9,18.97,65.44,13.0,14.37,18.43,78.35,16.65,16.1,17.0,27.17,245.37,9.36,4.48,0.91,5.08,3.72,1.3,3.54,13.64,82.42,0.69,3.25,100.0,4.85,0.01,1.51,2.52,8.27,17.15,14.74,21.68,53.57,46.43,100.0,0.8,0.51,2.15,0.32,7.18,4.19,16.7,-5.34,50.85,87.17,1.67,1.38,43.3172788246567
2016,993.0,19.3,65.0,6.5,46.0,1.88,0.01,0.01,24.0,13.27,138.0,-109.0,29.0,1.31,-49.0,100.0,80.7,19.3,6.28,0.01,6.47,6.54,-0.39,6.15,25.43,4.59,1.43,6.55,2.58,15.41,10.85,0.01,7.99,8.61,9.85,15.31,2.46,32.56,8.27,17.44,0.51,29.41,7.61,16.56,8.67,37.07,11.72,16.45,8.75,-29.54,11.01,2.92,0.64,3.21,2.07,1.4,4.19,10.87,84.83,0.66,3.64,100.0,4.39,0.01,1.71,2.63,8.99,17.73,20.88,22.61,61.22,38.78,100.0,0.61,0.29,2.58,0.54,6.39,4.28,14.61,-3.94,57.12,85.26,1.71,1.43,39.1619290961354
2017,1032.0,16.7,44.0,4.3,45.0,2.06,0.11,0.01,22.0,11.88,107.0,-71.0,36.0,0.57,-62.0,100.0,83.33,16.67,5.75,0.01,6.65,4.27,-0.84,3.43,0.01,4.34,1.48,6.43,2.65,16.78,10.6,0.01,3.9,6.86,7.81,12.56,-31.89,5.58,1.22,12.62,-1.71,17.8,7.35,14.36,9.57,28.54,13.58,16.69,-22.64,25.19,6.86,3.52,0.81,3.55,2.02,1.53,1.7,8.81,86.11,0.68,4.4,100.0,3.69,0.01,2.09,2.84,9.26,17.89,23.87,20.47,62.23,37.77,100.0,0.49,0.31,2.65,0.63,4.83,4.33,11.98,-2.81,75.57,84.21,1.73,1.48,36.4
2018,1032.0,16.7,44.0,4.3,45.0,2.06,0.11,5.3,22.0,12.62,107.0,-71.0,36.0,0.01,0.01,100.0,83.33,16.67,5.75,0.01,6.65,4.27,-0.84,3.43,0.01,4.34,1.48,6.43,2.65,16.78,10.6,0.01,-1.69,0.01,0.01,0.01,-30.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,98.18,0.01,0.01,0.01,0.01,0.01,6.86,3.52,0.81,3.55,2.02,1.53,1.7,8.81,86.11,0.68,4.4,100.0,3.69,0.01,2.09,2.84,9.26,17.89,23.87,20.47,62.23,37.77,100.0,0.49,0.31,2.65,0.63,4.83,4.33,11.98,-2.81,75.57,84.21,1.73,1.48,49.05
