year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,841.0,20.1,28.0,3.3,18.0,1.14,0.01,0.01,16.0,18.52,91.0,-48.0,42.0,2.72,-40.0,100.0,79.87,20.13,9.51,0.5,6.8,3.32,-0.76,2.56,18.25,2.09,1.39,2.91,2.08,6.31,4.79,4.12,-3.24,10.77,15.51,20.53,-41.24,-16.42,-5.77,0.01,-35.12,-15.69,-5.52,14.92,-32.54,-13.31,-4.43,-2.51,-0.6,431.01,5.76,5.01,2.39,3.38,1.57,2.42,1.83,9.2,71.91,18.2,0.69,100.0,1.81,3.25,0.01,7.73,3.1,15.9,28.63,7.37,51.9,48.1,100.0,0.58,0.31,2.08,0.6,2.24,7.51,6.21,3.54,163.08,48.59,1.93,1.39,17.9
2010,864.0,19.5,16.0,1.8,7.0,0.46,0.01,0.01,16.0,19.27,71.0,-35.0,36.0,2.27,-44.0,100.0,80.5,19.5,11.1,0.01,6.56,1.83,-1.29,0.55,0.01,0.84,1.47,1.24,1.93,2.48,2.25,1.93,2.76,4.22,12.2,16.41,-43.28,-33.7,-18.58,0.01,-58.53,-38.02,-23.24,-7.24,-59.65,-36.77,-22.45,-14.01,-22.07,-15.41,4.05,4.12,4.88,3.1,1.87,2.77,1.52,9.26,71.48,18.1,1.17,100.0,2.21,3.38,0.01,8.24,2.99,16.82,23.99,7.29,48.1,51.9,100.0,0.55,0.3,1.93,0.46,2.47,8.02,6.21,4.28,147.92,45.53,2.04,1.47,21.47
2011,915.0,21.2,32.0,3.5,21.0,1.34,0.01,0.01,15.0,20.07,96.0,-44.0,52.0,3.25,-26.0,100.0,78.77,21.23,11.66,0.01,6.04,3.53,-1.12,2.41,6.84,2.25,1.56,3.51,2.01,6.91,5.71,4.75,5.85,1.72,8.14,15.08,104.04,-12.06,-7.54,5.61,181.92,-8.8,-6.86,10.29,191.3,-7.44,-5.2,5.98,35.52,44.77,4.82,5.64,2.51,5.91,2.73,3.04,1.92,13.6,67.85,16.99,1.56,100.0,2.5,1.58,0.01,9.12,4.76,17.96,24.76,7.59,50.3,49.7,100.0,0.76,0.48,2.01,0.5,4.34,8.63,6.98,5.99,84.05,42.29,2.24,1.56,27.7
2012,977.0,22.0,45.0,4.6,28.0,1.93,0.01,0.01,15.0,21.92,94.0,-60.0,34.0,2.35,-28.0,100.0,78.0,22.0,11.69,0.01,5.68,4.63,-0.85,3.77,23.13,2.9,1.64,4.76,1.95,9.42,7.28,7.51,6.81,5.13,5.06,10.07,39.8,17.4,-3.63,7.44,37.68,17.2,-1.56,13.11,44.03,19.18,1.18,11.5,-1.38,-33.31,6.14,3.52,1.21,3.76,2.89,3.08,2.75,12.48,69.21,16.7,1.61,100.0,2.38,0.13,0.01,9.11,5.51,17.13,22.48,9.0,48.6,51.4,100.0,0.73,0.39,1.95,0.44,5.82,8.72,6.95,7.58,62.69,41.87,2.4,1.64,35.29
2013,1017.0,23.0,45.0,4.5,32.0,2.22,0.01,0.01,15.0,23.75,114.0,-79.0,35.0,2.32,-59.0,100.0,76.96,23.04,12.86,0.01,5.72,4.46,-0.4,4.05,21.84,3.17,1.65,5.23,1.83,9.85,7.8,16.32,4.11,5.58,3.2,11.96,0.27,41.95,-0.95,5.44,13.79,64.07,3.51,7.44,15.03,68.99,5.61,8.09,20.29,0.68,7.75,3.41,1.07,2.7,3.6,3.47,2.95,12.71,70.07,15.65,1.57,100.0,3.01,0.13,0.01,10.96,7.94,22.05,13.85,9.37,45.26,54.74,100.0,0.58,0.29,1.83,0.25,6.99,9.41,7.78,8.62,52.23,38.79,2.37,1.65,73.54
2014,1146.0,22.6,54.0,4.7,33.0,2.25,0.01,0.01,14.0,25.37,124.0,-108.0,16.0,0.68,-64.0,100.0,77.44,22.56,12.25,0.01,5.63,4.67,-1.02,3.65,22.21,2.84,1.67,4.75,2.05,9.21,7.38,14.75,12.67,7.8,6.39,10.85,18.06,18.28,13.88,3.59,1.0,16.53,13.09,3.37,1.35,18.86,14.57,4.64,8.85,-54.18,9.4,1.39,0.49,3.05,3.23,3.53,3.78,13.58,67.44,17.2,1.78,100.0,3.88,0.01,1.34,0.88,16.15,22.24,18.94,9.93,51.11,48.89,100.0,0.61,0.28,2.05,0.41,7.37,9.86,9.8,7.44,49.5,37.03,2.43,1.67,76.975
2015,1258.0,23.7,68.0,5.4,48.0,3.36,0.01,0.01,14.0,28.83,141.0,-166.0,-25.0,-0.74,-81.0,100.0,76.25,23.75,12.22,0.01,6.15,5.38,-0.35,5.03,24.56,3.79,1.6,6.05,2.24,13.0,9.27,17.6,9.73,8.77,7.79,9.97,26.36,14.37,33.67,4.32,46.51,18.97,45.57,5.71,49.33,20.3,48.84,7.44,14.03,0.01,13.22,-2.02,-0.53,2.7,3.3,3.36,2.15,11.52,71.87,14.47,2.15,100.0,2.78,0.01,1.28,0.92,16.16,21.15,24.15,10.13,55.44,44.56,100.0,0.54,0.28,2.24,0.56,7.47,10.27,9.84,7.9,48.84,35.54,2.29,1.6,61.74
2016,1296.0,21.9,51.0,4.0,12.0,0.87,0.01,0.01,13.0,28.75,99.0,-164.0,-65.0,-3.5,-48.0,100.0,78.11,21.89,11.25,0.01,6.69,3.95,-3.58,0.37,0.01,0.9,1.47,1.33,2.64,3.25,2.47,1.66,3.09,8.42,7.22,7.68,-31.98,0.49,7.3,-0.39,-75.42,-28.62,-10.64,-8.77,-74.11,-26.82,-8.28,-6.75,-29.78,0.01,12.63,-5.0,-5.53,1.28,2.63,3.26,2.94,10.11,71.47,15.05,3.38,100.0,1.5,0.01,1.12,1.79,10.94,15.35,36.62,10.14,62.11,37.89,100.0,0.66,0.25,2.64,1.0,7.31,10.41,6.65,11.07,49.93,35.06,2.06,1.47,56.4
2017,1381.0,21.3,46.0,3.3,30.0,2.31,0.01,0.01,13.0,29.08,157.0,-84.0,73.0,2.9,-56.0,100.0,78.7,21.3,11.27,0.01,6.7,3.33,-1.23,2.1,0.01,2.17,1.51,3.28,2.35,8.16,5.84,3.65,6.52,6.41,7.16,6.11,-0.11,-4.96,0.32,-1.67,156.03,-2.67,1.16,-0.21,165.52,0.88,3.66,2.41,58.26,0.01,6.05,5.29,2.43,1.95,2.91,3.25,3.41,11.51,70.08,14.85,3.56,100.0,3.88,0.01,1.55,1.29,10.89,17.61,29.25,10.59,57.45,42.55,100.0,0.65,0.28,2.35,0.71,6.7,9.98,8.24,8.44,54.51,36.56,2.13,1.51,56.4
2018,1381.0,21.3,46.0,3.3,30.0,2.31,0.01,0.01,13.0,29.87,157.0,-84.0,73.0,0.01,0.01,100.0,78.7,21.3,11.27,0.01,6.7,3.33,-1.23,2.1,0.01,2.17,1.51,3.28,2.35,8.16,5.84,3.65,17.46,0.01,0.01,0.01,139.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-206.25,0.01,0.01,0.01,0.01,0.01,6.05,5.29,2.43,1.95,2.91,3.25,3.41,11.51,70.08,14.85,3.56,100.0,3.88,0.01,1.55,1.29,10.89,17.61,29.25,10.59,57.45,42.55,100.0,0.65,0.28,2.35,0.71,6.7,9.98,8.24,8.44,54.51,36.56,2.13,1.51,62.75
