year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,3276.0,15.7,221.0,6.8,79.0,0.77,0.44,0.01,103.0,0.01,275.0,-94.0,181.0,0.01,-40.0,100.0,84.31,15.69,4.5,0.01,4.43,6.76,-4.35,2.41,8.73,2.19,1.75,3.82,3.01,12.75,7.62,3.6,-14.51,-4.46,-0.47,6.83,14.03,-30.51,-19.47,-3.3,53.06,-28.03,-12.46,0.05,57.14,-21.96,-5.95,4.09,-24.07,98.54,2.86,5.52,2.29,4.83,4.68,1.88,7.55,18.94,71.85,6.71,2.5,100.0,6.23,0.09,0.01,14.65,0.01,20.98,37.33,8.5,66.81,33.19,100.0,0.9,0.45,3.01,1.12,5.13,13.05,52.39,-34.21,71.12,27.98,2.47,1.75,12.001139971752
2010,2858.0,15.9,183.0,6.4,138.0,1.34,0.47,0.01,103.0,0.01,336.0,-61.0,276.0,0.01,51.0,100.0,84.08,15.92,4.77,0.01,4.76,6.4,-1.78,4.62,21.41,4.82,1.5,7.25,2.54,20.02,12.1,5.63,-21.05,-13.24,-6.09,2.84,40.16,-22.97,-11.51,-2.33,73.94,-15.72,-2.98,1.57,74.03,-10.19,3.05,5.59,22.55,52.31,2.13,9.64,2.0,18.61,2.44,1.44,4.57,27.05,60.96,6.7,5.28,100.0,6.09,0.91,1.06,16.23,0.01,24.29,28.32,8.04,60.65,39.35,100.0,1.11,0.87,2.54,0.72,6.04,14.19,52.4,-32.17,60.4,25.72,2.26,1.5,17.2766602234076
2011,2761.0,17.3,210.0,7.6,141.0,1.53,0.56,0.01,92.0,0.01,260.0,-70.0,190.0,0.01,-184.0,100.0,82.71,17.29,4.81,0.01,4.88,7.6,-0.96,6.64,23.06,5.11,1.66,8.46,3.38,24.16,14.58,7.48,-3.4,-13.29,-7.83,1.11,39.94,30.77,-8.03,-0.66,2.44,39.71,-7.86,-0.29,14.18,46.16,-1.14,4.92,-22.72,-31.18,2.55,6.87,1.34,5.52,2.88,1.71,4.8,14.91,71.15,8.36,5.58,100.0,5.9,1.49,2.94,16.21,0.78,27.32,33.85,9.26,70.44,29.56,100.0,0.55,0.31,3.38,1.15,5.81,4.16,16.01,-6.04,62.81,87.67,2.53,1.66,22.7162178765998
2012,2821.0,18.1,239.0,8.5,151.0,1.87,0.64,0.01,81.0,0.01,303.0,-125.0,178.0,0.01,-207.0,100.0,81.95,18.05,5.08,0.01,4.5,8.47,-1.07,7.4,27.57,5.36,1.93,10.36,4.63,40.39,18.07,8.79,2.15,-7.98,-8.41,-0.23,10.53,29.42,-6.7,-0.35,7.21,24.08,-8.05,-0.1,22.22,34.42,0.22,6.32,16.71,-6.02,4.44,6.32,1.18,4.12,3.09,1.77,4.59,13.57,72.67,8.75,5.02,100.0,7.0,1.9,2.3,15.94,0.83,27.98,40.94,9.51,78.42,21.58,100.0,0.48,0.26,4.63,1.9,5.58,4.0,14.85,-5.27,65.47,91.14,2.69,1.93,26.9225937316073
2013,2850.0,19.0,270.0,9.5,163.0,2.2,0.8,0.01,74.0,0.01,291.0,-132.0,159.0,0.01,-192.0,100.0,81.05,18.95,4.72,0.01,4.74,9.49,-1.41,8.08,29.07,5.74,1.97,11.31,9.73,71.14,19.55,8.91,0.9,-0.14,-7.64,-1.43,13.15,20.51,22.84,0.14,8.02,5.86,25.86,-0.32,17.65,17.97,35.03,6.86,-4.2,-10.69,4.62,5.59,0.97,4.09,2.94,1.7,4.94,13.67,71.31,9.78,5.24,100.0,6.42,1.9,2.25,15.3,0.99,26.86,53.71,9.15,89.72,10.28,100.0,0.51,0.26,9.73,5.22,5.21,3.96,15.34,-6.18,70.08,92.26,2.74,1.97,41.1493630210805
2014,2909.0,19.2,289.0,9.9,154.0,2.26,0.96,0.01,68.0,0.01,360.0,-161.0,199.0,0.01,-255.0,100.0,80.77,19.23,4.54,0.01,4.76,9.93,-2.5,7.43,28.78,5.3,1.97,10.47,23.63,145.01,18.51,8.7,2.09,1.71,-4.31,-2.41,6.87,10.15,21.26,-1.18,-5.71,2.98,14.24,0.01,2.73,13.89,24.03,8.0,23.79,24.89,5.54,6.83,1.29,3.87,3.21,1.59,5.48,14.15,70.87,10.22,4.76,100.0,6.91,1.87,2.76,16.04,3.7,31.27,55.84,8.66,95.77,4.23,100.0,0.45,0.23,23.63,13.19,5.38,3.76,15.27,-6.13,67.81,97.2,2.78,1.97,53.1591437404863
2015,3002.0,19.8,315.0,10.5,195.0,3.02,1.12,0.01,64.0,0.01,369.0,-140.0,228.0,0.01,-229.0,100.0,80.19,19.81,4.45,0.01,4.86,10.5,-1.03,9.47,30.81,6.55,2.05,13.44,0.01,0.01,0.01,10.8,3.33,2.1,0.99,-2.61,9.1,9.68,15.33,1.02,27.69,9.16,7.39,2.07,34.96,17.71,17.88,10.21,2.44,14.88,4.67,7.61,1.17,3.84,3.24,1.6,4.52,13.21,71.88,10.38,4.53,100.0,6.47,0.24,3.33,17.92,1.18,29.14,67.61,8.71,105.46,-5.46,100.0,0.45,0.24,0.01,0.01,5.74,3.54,14.85,-5.56,63.58,103.16,2.88,2.05,44.4381925139119
2016,3257.0,19.0,328.0,10.1,201.0,3.42,1.28,0.01,59.0,0.01,394.0,-113.0,282.0,0.01,-256.0,100.0,81.01,18.99,3.92,0.01,5.01,10.07,-1.28,8.79,29.9,6.16,2.24,13.8,0.01,0.01,0.01,9.79,8.5,4.6,3.36,-2.4,4.02,6.64,8.69,-0.02,2.06,7.11,7.31,-0.56,12.13,15.84,17.45,7.76,7.08,23.46,3.46,8.65,1.41,2.14,2.98,4.79,2.09,12.0,70.83,13.19,3.98,100.0,6.48,0.24,4.13,17.3,1.21,29.36,75.64,9.47,114.47,-14.47,100.0,0.41,0.17,0.01,0.01,5.07,6.47,13.03,-1.48,71.96,56.39,3.14,2.24,47.1218024871914
2017,3151.0,18.0,266.0,8.4,151.0,2.94,1.36,0.01,51.0,0.01,313.0,-103.0,210.0,0.01,-292.0,100.0,81.97,18.03,4.22,0.01,5.39,8.43,-1.81,6.62,27.67,4.79,2.18,10.45,0.01,0.01,0.01,5.21,-3.27,2.74,2.24,-3.23,-19.03,-2.78,2.13,-2.39,-24.87,-0.7,-0.05,-4.13,-14.04,9.16,9.47,4.74,-20.73,-25.4,3.26,6.67,1.39,0.64,3.16,5.05,2.07,10.92,70.78,13.54,4.76,100.0,7.37,0.68,3.77,18.57,1.18,31.58,93.36,9.98,134.92,-34.92,100.0,0.35,0.12,0.01,0.01,5.13,10.03,14.1,1.05,71.12,36.39,3.08,2.18,38.4354166666667
2018,3127.0,17.9,255.0,8.2,128.0,2.59,1.44,55.6,49.0,-11.93,290.0,-91.0,199.0,0.01,0.01,100.0,82.08,17.92,4.23,0.01,5.54,8.15,-2.28,5.87,30.16,4.1,2.16,8.85,0.01,0.01,0.01,4.32,-0.6,0.01,0.01,0.01,-0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-21.74,0.01,0.01,0.01,0.01,0.01,2.91,6.35,1.55,1.05,6.5,5.12,1.22,13.89,68.41,13.52,4.19,100.0,6.58,0.59,2.51,21.32,1.26,32.26,97.48,9.73,139.47,-39.47,100.0,0.43,0.23,0.01,0.01,10.58,10.2,12.84,7.94,34.5,35.79,3.16,2.16,39.83
