Day,Hours Opened,Business Info,Detail,Also-Considered,Link,Also-Viewed,Link
Mon,11:00 am - 12:00 am,Takes Reservations,Yes,Laventina’s Big Cheese Pizza,https://nz.yelp.com/adredir?ad_business_id=AMw-u-ANiwKgruxVvvnzGQ&campaign_id=oWYUeeJheByhOwdWIPcZyQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fnz.yelp.com%2Fbiz%2Flaventinas-big-cheese-pizza-newport-beach-4&request_id=0d2cdeb8480a70da&signature=4014501531ab6877889343566a2bcc7c01d16d991b792c02ec4716c8afa8f6c9&slot=0,Lazy Dog Restaurant & Bar,https://nz.yelp.com/biz/lazy-dog-restaurant-and-bar-westminster?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,Yes,Roy’s Restaurant,https://nz.yelp.com/adredir?ad_business_id=n9mUxty2SBsSpDL-6N2HrQ&campaign_id=99XMJsr6rFJtDmc2rKuTTw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fnz.yelp.com%2Fbiz%2Froys-restaurant-anaheim-3&request_id=0d2cdeb8480a70da&signature=f0190b4bda057a20be8e2fa29922908d27be7e28878e9c8215a26a0ca0e2bfe7&slot=1,The Cheesecake Factory,https://nz.yelp.com/biz/the-cheesecake-factory-huntington-beach?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take Away,Yes,,,Eureka!,https://nz.yelp.com/biz/eureka-huntington-beach?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,10:00 am - 1:00 am,Accepts Android Pay,No,,,,
Sun,10:00 am - 12:00 am,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,On-Site,,,,
,,Bike Parking,Yes,,,,
,,Good for Children,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
