Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 9:00 pm,Takes Reservations,No,Totin’s Diner,https://www.yelp.com/adredir?ad_business_id=SeQlCrKvyM2j8m_75gtouQ&campaign_id=ZClfo1HUcT7aBZFcKHjVEA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftotins-diner-wexford&request_id=6e65bac7fe4dfcc8&signature=e80f979ef9872976bfd6f86ba0d5e450c6dee1ee7998f0ebe51c222a8181381b&slot=0,Pelegrino’s Pizza & Pasta,https://www.yelp.com/biz/pelegrinos-pizza-and-pasta-pittsburgh?page_src=related_bizes
Tue,11:00 am - 9:00 pm,Delivery,Yes,Scoglio’s Green Tree,https://www.yelp.com/adredir?ad_business_id=48jrpdXh98gzP5CxPwQyvw&campaign_id=4w8VE4JWzR5KJ6ikjC3CsA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fscoglios-green-tree-pittsburgh&request_id=6e65bac7fe4dfcc8&signature=99f64faa352e4199cc3b4680598a1b9c152d0b85a6c18263a0eaccb1bb446099&slot=1,Wheelfish,https://www.yelp.com/biz/wheelfish-pittsburgh?page_src=related_bizes
Wed,11:00 am - 9:00 pm,Take-out,Yes,,,Hal’s Bar and Grill,https://www.yelp.com/biz/hals-bar-and-grill-pittsburgh?page_src=related_bizes
Thu,11:00 am - 9:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 10:00 pm,Parking,Private Lot,,,,
Sun,11:00 am - 7:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
