status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares
7854678793_10156124095483794,b'Come in and catch our Citrus Harissa Salmon Finest Burger for Lent.',b'Fishing for Citrus Harissa Salmon',video,https://www.facebook.com/RedRobin/videos/10156124095483794/,2018-02-16 16:31:40,18,0,4
7854678793_10156122239363794,"b'Very undermanned staff and my food came out lukewarm at best, I understand being busy but we went on Veterans Day and the service was great and so was the food, we went tonight 2/15/18 and they weren\xe2\x80\x99t as busy and the food was subpar, the waitress did as well as she could considering how many other tables she had, I am disappointed and unsure of if we will return'",,status,,2018-02-16 00:13:34,0,0,0
7854678793_10156122089113794,b'Thank you so much for offering an easy to use allergy menu in your restaurants.  I have a child with food allergies and you make it so easy to find foods that are safe!  I wish more restaurants did the same.',,status,,2018-02-15 22:41:28,1,1,0
7854678793_10156121566458794,b'Why don\xe2\x80\x99t you have a sandwich called the Red Reuben? MISSED OPPORTUNITY I TELL YA.',,status,,2018-02-15 18:56:27,0,1,0
7854678793_10156118178733794,b'Today we had Mooseburgers with avocado and Red Robin original seasoning... Yummy.\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c',,photo,https://www.facebook.com/photo.php?fbid=10215348639020139&set=p.10215348639020139&type=3,2018-02-14 14:18:06,1,1,0
7854678793_10156118005373794,b'Which beefcake would you choose?',,video,https://www.facebook.com/RedRobin/videos/10156118005373794/,2018-02-14 13:03:24,54,31,15
7854678793_10156115500913794,"b'Fat Tuesday is the perfect reason to try our spicy, bacony, fried jalapeno coin and queso topped VooDoo fries.'",,video,https://www.facebook.com/RedRobin/videos/10156115500913794/,2018-02-13 15:58:37,181,91,18
7854678793_10156113002823794,"b'This Valentine\xe2\x80\x99s Day, who do you want to get bottomless with?'",,video,https://www.facebook.com/RedRobin/videos/10156113002823794/,2018-02-12 17:59:18,131,58,14
7854678793_10156112767013794,"b'Hi, I tried to submit this on my survey where it asked if any of the staff did anything memorable but was unable to because of the 1200 character or less stipulation. I really wanted you guys to know the whole story so you can understand where I\'m coming from so here it goes..\n\nAs a stay at home mom, I don\'t get out much. I don\'t have many friends and I don\'t get to interact with adults very often. My days are spent caring for a six, four, and two year old. As much as I love being a mom, it\'s exhausting. All I look forward to every day is when my husband gets home from work so I can have a few minutes to myself or some time out of the house.  On Saturday, I actually got a little more than a few minutes. I wasn\'t by myself but I got to spend some one on one time with my six year old daughter. We enjoyed some shopping and decided to grab a bite to eat. She is a very picky eater, but she LOVES grilled cheese and I knew it was on your kids meal menu. So in we went to Red Robin in Hamilton Town Center. Our waitress was sweet, very friendly, and tended to us well. I can\'t complain about her service one bit. But this isn\'t about our waitress, this is about a special young lady named Dezzy. Dezzy came out with my second round of sweet potato fries and she was just simply amazing! I told her that my eyes had been bigger than my stomach because I was too full now that I had finished my burger to eat anymore fries, that I would probably burst if I ate anymore. She laughed and joked with me that she would wheel barrel me out if I needed her to. We laughed together and when she stopped she looked me in the eye and said, "" You know, you\'re the only person who has talked to me today"" gave me a hug and said thank you. As you can imagine, my heart just kinda warmed right up. So there I am hugging a stranger feeling a little emotional, thanking her as well. Because you see, nobody had taken the time to really talk to me either. Nobody ever does and that\'s why I appreciated that interaction with her so much more. I\'ve never had a complete stranger hug me and thank me just for a little conversation, but I will tell you one thing, it sure felt wonderful. So thank you Dezzy for making this sheltered stay at home mom feel like a part of the world again and making me realize that I can make a big difference in someone\'s day, just like you did in mine. \n \n\nRed Robin people like Dezzy are special and I felt like you needed to know how lucky you are to have her as part of your team \xe2\x9d\xa4\xef\xb8\x8f'",,status,,2018-02-12 15:53:30,5,1,0
7854678793_10156109989158794,b'Come taste the Love on Valentine\xe2\x80\x99s Day.',"b""Burnin' MADLOVE""",video,https://www.facebook.com/RedRobin/videos/10156109989158794/,2018-02-11 16:05:28,147,20,15
