status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares
79746038702_10156099105628703,"b'Because every pizza me, loves every pizza you\xf0\x9f\x8d\x95\xf0\x9f\x98\x98\n\nCheers to the ones we love, our BFFLs, our BAEs, our very special someone\xf0\x9f\x92\x9b #valentinesday'",,video,https://www.facebook.com/californiapizzakitchen/videos/10156099105628703/,2018-02-14 23:19:55,17,2,0
79746038702_10215552709356089,"b'West Coast vibes got me all fired up...\xf0\x9f\x98\x8d\xf0\x9f\x94\xa5 \xf0\x9f\x8c\xbd  Seasonal Mexican Street Corn is HERE, now for a limited time! #newCPK'",,video,https://www.facebook.com/californiapizzakitchen/videos/10215552709356089/,2018-02-14 12:10:29,258,33,51
79746038702_10156086629358703,"b'\'Eat This, Not That\' Awards\xf0\x9f\x8f\x86\xf0\x9f\x8d\xb4\nBest Sit-Down Restaurant: Banh Mi Power Bowl\n\n""Because everyone needs a little \'me\' time""\xf0\x9f\x98\x89\xf0\x9f\x8c\xbf'","b'\xe2\x80\x98Eat This, Not That\xe2\x80\x99 Awards: Find out which foods won'",link,https://www.today.com/video/-eat-this-not-that-awards-find-out-which-foods-won-1156645443938,2018-02-10 13:01:13,43,1,1
79746038702_10156084336798703,b'I love pizza and celebrate it on #nationalPizzaDay and a chance to win pizza for a year at #CPK sweepstakes with my friend Suki and my boy Komfort',,photo,https://www.facebook.com/photo.php?fbid=1796504403753141&set=p.1796504403753141&type=3,2018-02-09 17:25:46,0,0,0
79746038702_10215582189893084,"b'#NationalPizzaDay, I love you to pizzas! \xf0\x9f\x98\x82 \xf0\x9f\x8d\x95 TODAY ONLY: Tag someone you want to celebrate with and include #CPKsweepstakes for a chance to win FREE PIZZA for a year.* \n\nSubmissions valid 2/9/18 until 11:59pm PST only. http://bit.ly/CPKcauliflower *Full details available at http://bit.ly/PizzaDayRules'",,video,https://www.facebook.com/californiapizzakitchen/videos/10215582189893084/,2018-02-09 08:00:00,974,1342,199
79746038702_10215582029489074,"b'Love, CPK... and $100 gift card?!\xf0\x9f\x98\x8d Yes, please!\n\nTag your special someone, BFF or not-so-secret crush below & include  #CPKsweepstakes in the COMMENTS below to enter for the chance to WIN a $100 CPK Gift Card.\n\nSubmissions end 2/14/18. http://bit.ly/CPKSweetDeal'",,video,https://www.facebook.com/californiapizzakitchen/videos/10215582029489074/,2018-02-08 16:15:39,295,531,30
79746038702_10215522493960723,b'1\xef\xb8\x8f\xe2\x83\xa3 Appetizer. 2\xef\xb8\x8f\xe2\x83\xa3 Entr\xc3\xa9es. 1\xef\xb8\x8f\xe2\x83\xa3 Dessert. All for $35!*\xf0\x9f\x98\x8d \n\nCozy on up to your loved one this Valentine\xe2\x80\x99s Day & indulge in our tasty Sweet Deal for Two menu!\n\n*Details & menu available at: http://bit.ly/CPKSweetDeal',,video,https://www.facebook.com/californiapizzakitchen/videos/10215522493960723/,2018-02-06 15:30:32,105,15,17
79746038702_10156070454888703,b'You know it! \xf0\x9f\x99\x8c\xf0\x9f\x8f\x88\xf0\x9f\x8d\x95\nJust here for the pizza & commercials #guilty',b'Timeline Photos',photo,https://www.facebook.com/californiapizzakitchen/photos/a.90785803702.84244.79746038702/10156070454888703/?type=3,2018-02-04 15:01:07,44,2,2
79746038702_10156065073913703,"b'\xf0\x9f\x8e\x89\xf0\x9f\x99\x8c\xf0\x9f\x8d\x95CONGRATS\xf0\x9f\x8d\x95\xf0\x9f\x99\x8c\xf0\x9f\x8e\x89\n\n...to our SVP of Culinary Innovation, Brian Sullivan, and Director of Culinary Innovation, Juan Borrayo, for 30 years of leading the California State of Mind!\xe2\x98\x80\xef\xb8\x8f\n\nHappy Anniversaries, Chefs!'",,video,https://www.facebook.com/californiapizzakitchen/videos/10156065073913703/,2018-02-02 17:33:25,138,36,18
79746038702_10156064379068703,b'Weekend vibes = activated\xe2\x98\x80\xef\xb8\x8f\n\nFeaturing all-NEW seasonal finds:\n\xf0\x9f\x8d\x95Citrus Adobo Pizza\n\xf0\x9f\x8c\xbdMexican Street Corn\n\xe2\x9c\xa8Sparkling Berry-Lemon\n\n\xf0\x9f\x93\xb7 credit: RAgrinds (www.instagram.com/ragrinds)',"b""Photos from California Pizza Kitchen's post""",photo,https://www.facebook.com/californiapizzakitchen/photos/a.90785803702.84244.79746038702/10156064371448703/?type=3,2018-02-02 12:49:08,120,13,5
79746038702_10156062726893703,,"b""California Pizza Kitchen's cover photo""",photo,https://www.facebook.com/californiapizzakitchen/photos/a.10150701980853703.423075.79746038702/10156041002113703/?type=3,2018-02-01 21:00:35,120,11,29
79746038702_10156062393398703,b'Spice it up this Valentine\xe2\x80\x99s Day with a sweet surprise! \xf0\x9f\x92\x95  Enter for your chance to WIN a $100 CPK Gift Card by tagging that special someone and include  #CPKsweepstakes in the COMMENTS  below! Submissions end 2/7/18. http://bit.ly/CPKSweetDeal',b'Timeline Photos',photo,https://www.facebook.com/californiapizzakitchen/photos/a.90785803702.84244.79746038702/10156062393398703/?type=3,2018-02-01 18:15:48,605,830,79
79746038702_10156057496623703,b'Please lose the rice flour from the cauliflower crust and make it truly low-carb. There are a lot of keto followers just waiting to plan their celebratory dinner parties.',,status,,2018-01-30 21:35:30,0,1,0
79746038702_10215483750992173,"b'IT\xe2\x80\x99S HERE: Cauliflower Crust is finally here! \xf0\x9f\x98\x8d\n\n...So, what are you waiting for?! #newCPK #poweredbycauliflower \nhttp://bit.ly/CPKcauliflower'",,video,https://www.facebook.com/californiapizzakitchen/videos/10215483750992173/,2018-01-30 17:36:39,1084,289,289
