status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares
84917689333_10156144386114334,"b'Applebee\xe2\x80\x99s do better. Oddly enough, all the bad press regarding the Independence Mall location reminded me I have a gift card. I ordered car side to go to be ready at 2:31pm and paid online with a gift card. I pull in at 2:32pm with no acknowledgement. Finally at 2:46 a lady brings a bag to my car and tries to charge me. I explain that it was paid with gift card. She says, \xe2\x80\x9cNo, but let me go check inside.\xe2\x80\x9d A couple minutes later she returns with my gift card receipt. I pull off to check my order - cold mozzarella sticks with a HAIR included on the ranch dip lid at no charge!'","b""Photos from Rodrick Thomas's post""",photo,https://www.facebook.com/photo.php?fbid=10156001078653815&set=p.10156001078653815&type=3,2018-02-17 16:03:14,0,0,0
84917689333_10156142332279334,b'Only place that charges to dress up my beer with #trechas #mexicanproblems \xf0\x9f\x98\xa3\xf0\x9f\x98\x9d\xf0\x9f\x8d\xba',,status,,2018-02-16 21:29:04,1,1,0
84917689333_10156141904434334,"b""This makes no sense it's a shame you can't even got to grab a bite with out it being about race stop racism I'm no longer eating at Applebee's until they make this right I'm disgusted!!!""",,status,,2018-02-16 17:37:05,0,3,0
84917689333_10156140311389334,"b'I\xe2\x80\x99ve signed up numerous times for the Applebees emails, but I\xe2\x80\x99ve never received an email from y\xe2\x80\x99all yet. Do y\xe2\x80\x99all not send email updates/specials/coupons?'",,status,,2018-02-16 06:25:01,1,1,0
84917689333_10156136684944334,"b'Fort Smith, AR location\n\nWe went there tonight for Valentines Day. The waiter was awesome. But the food was horrible. We had 2 servings of wings...1 serving was cold and the other serving was so hot you couldnt eat it and know it was microwaved. The sauce with my sons mozzarella sticks was raunchy and tasted old. And then the potatoes my fiance got were horrible and were also microwaved. Lets just hope my fiance doesnt get sick. Then we had the brownie and ice cream. The brownies were undercooked. We had the same thing we had tonight a few weeks ago and it was good. I know today was Valentines day and was but that doesnt mean the food should not be the same quality as it was the last time we were there.'",,status,,2018-02-14 20:27:23,1,4,0
84917689333_10156135960654334,"b""Good to know the workers who are responsible got canned. Now how about an apology and compensation(and no I'm not talking about a gift card) for those two women?""",,status,,2018-02-14 15:30:46,4,0,0
84917689333_10156133799269334,b'Applebee\xe2\x80\x99s North Charleston Mrs.Francis was so helpful amazing customer service from the entire staff.\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',,status,,2018-02-13 21:24:02,0,0,0
84917689333_10156133208309334,"b'\xf0\x9f\x98\xa1 I\xe2\x80\x99m sorry. I know this was an isolated event at an AppleBee\xe2\x80\x99s. But I can\xe2\x80\x99t at all eat at an AppleBee\xe2\x80\x99s until you guys truly make it right. You should compensate them for the humiliation. Not a $50 gift card. $50,000 each is a small price to pay for this disgusting and disturbing incident. AND making those women pay?!?! And leave?! \xf0\x9f\xa4\xac'",,status,,2018-02-13 16:28:20,5,0,0
84917689333_10156132103679334,"b""Glad to see y\xe2\x80\x99all took swift action against the Applebee's Grill & Bar workers in the Missouri location. \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc""",,status,,2018-02-13 08:36:44,1,0,0
84917689333_10156130745884334,b'How come I can\xe2\x80\x99t use a gift card and credit card on the same order. I just ordered the classic combo. The total was $14.59. I had a gift card that had s little over $10 left. The other $4 plus went on my debit card. I entered the gift card # and the credit card info. I then sent the order. When looking at my banking info I see all the money was charged to my credit card.',,status,,2018-02-12 18:51:53,0,1,0
84917689333_10156130739949334,,b'Timeline Photos',photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10156130739949334/?type=3,2018-02-12 18:50:01,6083,1464,2230
