status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares
107696493204_10156149213788205,"b""We went to the TGIF on 1960 and 249 for a Farwell party tonight for a coworker and I do not recommends this. The drinks were very watered down. They are out to make an easy buck and hope patriants will stay drinking their water down drinks. In the end everyone left and we ended up going somewhere else. I would not recommend this place for a social gathering. Not to mention the waitress seemed like she was high and couldn't get pur Order right....never again...horrible experience.""",,status,,2018-02-15 21:29:48,0,2,1
107696493204_10156144951328205,"b""You can both get exactly what you want this Valentine's Day. Surf & Turf for Bae and Turf and Turf for Boo. It's all up to you when you're ordering off of our Choose Two Meats from the Grill for $14.99 menu. Oh, and, don't forget to save room for dessert.""",b'Timeline Photos',photo,https://www.facebook.com/TGIFridays/photos/a.10150316519838205.366337.107696493204/10156144951328205/?type=3,2018-02-14 11:00:05,177,15,19
107696493204_10156142220438205,"b""Not sure if this is the proper place to mention this but I went to TGIF's for an early Valentine's  Day lunch with my mom. I ordered the Chicken Alfredo but asked that they hold the Chicken. Big mistake! First my order arrived way after the others. Then what I got was a plate of noodles. No Alfredo  sauce. And after mentioning  it to the server she said well he put a light sauce on it. Really? I've had seven children, you think I don't know what a plate of PLAIN noodles looks like? Then when it finally did arrive after the sendback, it looked like they put the sauce onwith a spraygun. \n\nThink twice FB'we before  going to TGIF on Valentine's  Day.""",,photo,https://www.facebook.com/photo.php?fbid=427520091018581&set=p.427520091018581&type=3,2018-02-13 13:55:20,0,1,1
107696493204_10156138706723205,"b'Valentine\xe2\x80\x99s Day doesn\xe2\x80\x99t have to break the bank. Treat your date to Choose Two for $14.99 and enjoy premium items like our Bacon-Wrapped Shrimp, Center-Cut Sirloin, Parmesan-Crusted Chicken, Dragon-Glazed Salmon, or our Big Ribs. After dinner, split a Red Velvet Extreme Shake.'",b'Timeline Photos',photo,https://www.facebook.com/TGIFridays/photos/a.10150316519838205.366337.107696493204/10156138706723205/?type=3,2018-02-12 09:00:09,351,62,67
107696493204_10156130418973205,"b""Pro-Tip: On Valentine\xe2\x80\x99s Day, save room for dessert because you'll want to cozy up and split this epic Red Velvet Extreme Shake. \xf0\x9f\x98\x8d""",b'Timeline Photos',photo,https://www.facebook.com/TGIFridays/photos/a.10150316519838205.366337.107696493204/10156130418973205/?type=3,2018-02-09 10:00:10,855,182,126
107696493204_10156124800418205,"b'Choosing one dish over another is tough. But, when you Choose Two from the Grill for $14.99, you can get exactly what you want! Pick two of our five premium grilled meats to put on your plate along with a side of creamy mashed potatoes and fresh lemon-butter broccoli.'",b'Choose Two Meats For $14.99',video,https://www.facebook.com/TGIFridays/videos/10156124800418205/,2018-02-07 12:20:54,158,72,59
107696493204_10156124695693205,"b'Out-ordering your friends is now in. Because now you can choose any two meats, like our 6 oz. center-cut sirloin with Big Ribs, or dragon-glazed salmon with bacon-wrapped shrimp, or parmesan-crusted chicken with parmesan-crusted chicken. \n\nChoose Two meats & get two sides, $14.99.\n\nPlease drink responsibly.'","b""TGI Fridays's cover photo""",photo,https://www.facebook.com/TGIFridays/photos/a.10150696776808205.424876.107696493204/10156124694728205/?type=3,2018-02-07 11:21:07,21,15,9
107696493204_10156119738038205,b'When will you fix your online ordering so we can use our Fridays gift cards online?',,status,,2018-02-05 12:49:15,0,1,0
107696493204_10156117645988205,"b'So is it company policy to have their staff shovels snow in dress cloths durning a blizzard in 19 degrees with a windchill of 5 degrees. I am pretty sure this is an OSHA issue... so anyone thinking of going to TGI Friday\xe2\x80\x99s,  think about how they treat their employees.'",,status,,2018-02-04 18:09:31,1,0,0
107696493204_10156116576248205,b'Throwing a party for the Big Game? This could be you if you put in your Party Platter order right now. Use code 20FOR20 during checkout to score a 20% discount! http://bit.ly/2nHAphh',b'Timeline Photos',photo,https://www.facebook.com/TGIFridays/photos/a.10150316519838205.366337.107696493204/10156116576248205/?type=3,2018-02-04 11:00:10,119,14,10
107696493204_10156114679948205,"b'Your location at the Fairlane Town Center in Dearborn, Michigan has extremely bad customer service. We called yesterday to ask if they could accommodate our party of 30. They said yes - but to call back an hour before we arrived. So we called in the morning AND ALSO an hour before we left just to remind them. When we got there they said that they were unprepared, didn\xe2\x80\x99t have enough cooks and servers and told us to leave and come back in a hour. Wow! Unbelievable. We will NEVER go back there again. We went to Starters Restaurant across the road. They were happy to invite us in and were AMAZING! TGI Friday\xe2\x80\x99s lost a lot of business today. Shame on you!'",,status,,2018-02-03 17:35:44,0,1,0
107696493204_10156114158043205,"b""Last night I was at one of your establishments and the food was ice cold, we ordered soup came out luke warm. Was sent back came out again hotter except one soup was literally ice cold. The coffee we had wasn't hot at all and we didn't order ice coffee.  One of our dinner entrees was ice cold. Guess they don't microwave the food enough because it sure wasn't fresh""",,status,,2018-02-03 13:40:19,0,1,0
